bs,M,m,K,R,S,Pnl,Pld,P
0,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
1,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
2,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
3,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
4,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
5,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
6,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
0,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,48,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,48,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,48,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,44,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,2,0.16902301536443418,0,89.24637968657012,26.360830775812097,115.60721046238223
5,64,60,2,0.23969317158080805,0,89.24637968657012,24.79451297304216,114.04089265961228
1,64,48,2,0.1023353742463861,0,89.24637968657012,19.7461912987488,108.99257098531892
3,64,44,1,0.07406940949745075,0,89.24637968657012,17.702805135430218,106.94918482200035
6,64,52,1,0.11242829331093933,0,89.24637968657012,20.94638868721633,110.19276837378645
5,64,60,1,0.08885076531153994,0,89.24637968657012,24.12803582718956,113.37441551375969
2,64,48,1,0.043796516515868564,0,89.24637968657012,19.27514457643495,108.52152426300508
0,64,64,1,0.0814076288285222,0,89.24637968657012,25.723205024692852,114.96958471126297
5,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,1,0.08721317847976844,0,89.24637968657012,25.729010574344098,114.97539026091422
1,64,52,2,0.09419781006469831,0,89.24637968657012,21.375041693553424,110.62142138012355
2,64,52,1,0.046446151069852865,0,89.24637968657012,20.880406544975244,110.12678623154537
3,64,40,1,0.05814057131648001,0,89.24637968657012,16.084263963262934,105.33064364983306
5,64,56,0,0.0,0,89.24637968657012,0.0,89.24637968657012
6,64,56,2,0.16448243987525163,0,89.24637968657012,23.082314282350293,112.32869396892042
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,56,3,0.23287063552174564,0,89.24637968657012,23.89446221758012,113.14084190415025
6,64,56,2,0.14383305410130054,0,89.24637968657012,23.06166489657634,112.30804458314645
1,64,52,3,0.17313997826065466,0,89.24637968657012,22.144617976332714,111.39099766290283
3,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,52,2,0.13005884569488288,0,89.24637968657012,21.410902729183608,110.65728241575373
1,64,56,2,0.13032305206417757,0,89.24637968657012,23.048154894539216,112.29453458110933
2,64,56,1,0.05151241728424015,0,89.24637968657012,22.488085145175944,111.73446483174607
3,64,36,0,0.0,0,89.24637968657012,0.0,89.24637968657012
4,64,52,1,0.07603428765628585,0,89.24637968657012,20.909994681561678,110.1563743681318
5,64,52,0,0.0,0,89.24637968657012,0.0,89.24637968657012
6,64,60,2,0.12495559246981348,0,89.24637968657012,24.679775393931163,113.92615508050129
6,64,60,1,0.0762043888107783,0,89.24637968657012,24.1153894506888,113.36176913725892
6,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,56,1,0.0567868013454045,0,89.24637968657012,22.493359529237107,111.73973921580723
1,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,56,1,0.07454218441367846,0,89.24637968657012,22.511114912305384,111.75749459887551
4,64,52,0,0.0,0,89.24637968657012,0.0,89.24637968657012
0,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,32,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,48,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,48,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,52,1,0.07411233071777514,0,89.24637968657012,20.908072724623167,110.15445241119329
0,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,56,1,0.0762590438634774,0,89.24637968657012,22.51283177175518,111.7592114583253
3,64,28,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,56,0,0.0,0,89.24637968657012,0.0,89.24637968657012
1,64,56,2,0.2004374125633387,0,89.24637968657012,23.118269255038378,112.3646489416085
0,64,64,1,0.10191133234871369,0,89.24637968657012,25.743708728213043,114.99008841478317
0,64,64,1,0.10118761806516577,0,89.24637968657012,25.742985013929495,114.98936470049962
1,64,60,2,0.20492152179715842,0,89.24637968657012,24.75974132325851,114.00612100982863
2,64,60,0,0.0,0,89.24637968657012,0.0,89.24637968657012
3,64,24,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,44,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,44,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,60,1,0.08507679805838159,0,89.24637968657012,24.1242618599364,113.37064154650652
2,64,60,1,0.05803033318432787,0,89.24637968657012,24.097215395062346,113.34359508163247
1,64,60,0,0.0,0,89.24637968657012,0.0,89.24637968657012
0,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
1,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,64,1,0.06315319604766807,0,89.24637968657012,25.704950591912,114.95133027848212
0,64,64,1,0.05986933437476802,0,89.24637968657012,25.701666730239097,114.94804641680922
2,64,64,1,0.1074011124090524,0,89.24637968657012,25.749198508273384,114.9955781948435
0,64,64,1,0.05986933437476802,0,89.24637968657012,25.701666730239097,114.94804641680922
1,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,64,1,0.1074011124090524,0,89.24637968657012,25.749198508273384,114.9955781948435
2,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
0,64,64,2,0.088513003514968,0,89.24637968657012,26.28032076396263,115.52670045053276
0,64,64,1,0.0484161443745022,0,89.24637968657012,25.690213540238833,114.93659322680895
1,64,52,1,0.0945831612388715,0,89.24637968657012,20.928543555144266,110.1749232417144
0,64,64,1,0.047660721902607256,0,89.24637968657012,25.689458117766936,114.93583780433705
1,64,56,1,0.09673880680477183,0,89.24637968657012,22.533311534696477,111.7796912212666
4,64,40,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,40,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,56,2,0.18497218593875772,0,89.24637968657012,23.102804028413797,112.34918371498392
1,64,56,1,0.10964187897219557,0,89.24637968657012,22.5462146068639,111.79259429343402
0,64,64,1,0.04760835606197686,0,89.24637968657012,25.68940575192631,114.93578543849642
1,64,60,1,0.11164913065354673,0,89.24637968657012,24.150834192531565,113.39721387910168
3,64,20,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,36,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,36,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
1,64,60,0,0.0,0,89.24637968657012,0.0,89.24637968657012
