bs,M,m,K,R,S,Pnl,Pld,P
0,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
1,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
2,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
3,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
4,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
5,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
6,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
0,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,48,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,48,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,48,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,48,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,44,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,44,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,44,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,40,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,40,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,40,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,36,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,36,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,36,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,32,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,48,2,0.11173523224684435,0,89.24637968657012,19.75559115674926,109.00197084331938
3,64,52,1,0.07318812461105699,0,89.24637968657012,20.90714851851645,110.15352820508657
4,64,52,1,0.13066296393723142,0,89.24637968657012,20.964623357842626,110.21100304441275
5,64,52,1,0.06138216501985698,0,89.24637968657012,20.89534255892525,110.14172224549537
0,64,48,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,28,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,32,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,32,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,48,3,0.14709520493471656,0,89.24637968657012,20.42845961902047,109.6748393055906
4,64,56,2,0.1860169146235495,0,89.24637968657012,23.10384875709859,112.35022844366871
0,64,48,2,0.0770064569278803,0,89.24637968657012,19.720862381430297,108.96724206800042
4,64,56,1,0.06929731899954995,0,89.24637968657012,22.505870046891253,111.75224973346138
0,64,48,1,0.03788577886241666,0,89.24637968657012,19.2692338387815,108.51561352535163
0,64,44,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,24,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,28,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,44,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,28,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,40,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,20,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,24,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,40,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,48,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,24,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,36,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,16,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,20,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,36,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,44,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,44,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,20,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,16,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,32,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,40,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,40,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,36,2,0.044933541011823404,0,89.24637968657012,14.7778255885553,104.02420527512542
0,64,36,1,0.030758821551375628,0,89.24637968657012,14.45426987951152,103.70064956608164
0,64,36,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,28,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,36,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,36,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,36,1,0.030758821551375628,0,89.24637968657012,14.45426987951152,103.70064956608164
0,64,36,2,0.06920608425808933,0,89.24637968657012,14.802098131801566,104.0484778183717
0,64,36,1,0.06079469381433042,0,89.24637968657012,14.484305751774475,103.7306854383446
0,64,36,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,24,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,32,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,32,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,16,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,36,1,0.06079469381433042,0,89.24637968657012,14.484305751774475,103.7306854383446
0,64,40,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,20,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,28,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,28,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,40,1,0.06383483143574994,0,89.24637968657012,16.089958223382204,105.33633790995233
0,64,40,0,0.0,0,89.24637968657012,0.0,89.24637968657012
0,64,36,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,16,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,24,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,28,3,0.08761955267172677,0,89.24637968657012,11.918416046825914,101.16479573339603
6,64,16,1,0.0324346773433168,0,89.24637968657012,6.442884065371899,95.68926375194202
0,64,32,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,28,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,28,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,16,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,28,3,0.11238151461984894,0,89.24637968657012,11.943178008774035,101.18955769534416
6,64,16,1,0.03425723360588723,0,89.24637968657012,6.44470662163447,95.69108630820459
6,64,16,2,0.06513219779146681,0,89.24637968657012,6.613084450403383,95.8594641369735
0,64,28,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,28,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,32,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,16,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,28,3,0.11123365558082172,0,89.24637968657012,11.94203014973501,101.18840983630513
6,64,16,2,0.057038290462181104,0,89.24637968657012,6.604990543074097,95.85137022964422
4,64,28,2,0.07205807153683312,0,89.24637968657012,11.530974201107686,100.7773538876778
4,64,28,1,0.005539090112709353,0,89.24637968657012,11.223825480100228,100.47020516667035
6,64,16,1,0.05703204209936842,0,89.24637968657012,6.467481430127951,95.71386111669807
0,64,24,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,24,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,36,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,20,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,20,1,0.07429044303298839,0,89.24637968657012,8.087352165047884,97.33373185161801
