bs,M,m,K,R,S,Pnl,Pld,P
0,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
1,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
2,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
3,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
4,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
5,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
6,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
0,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,60,1,0.10354215955219127,0,89.24637968657012,24.14272722143021,113.38910690800033
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,60,1,0.10354215955219127,0,89.24637968657012,24.14272722143021,113.38910690800033
4,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,64,2,0.11846807669540972,0,89.24637968657012,26.310275837143074,115.5566555237132
1,64,60,1,0.07418878574781135,0,89.24637968657012,24.11337384762583,113.35975353419596
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,2,0.11843011713333221,0,89.24637968657012,26.310237877580995,115.55661756415111
1,64,60,1,0.07418878574781135,0,89.24637968657012,24.11337384762583,113.35975353419596
0,64,64,1,0.05416488534315275,0,89.24637968657012,25.695962281207482,114.94234196777761
1,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,2,0.10487657011514553,0,89.24637968657012,26.296684330562808,115.54306401713293
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,64,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,48,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,64,2,0.10506397683788705,0,89.24637968657012,26.29687173728555,115.54325142385568
0,64,64,1,0.07101975519434288,0,89.24637968657012,25.712817151058672,114.9591968376288
0,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
0,64,64,1,0.10513836082448952,0,89.24637968657012,25.74693575668882,114.99331544325895
0,64,64,2,0.15601164320609465,0,89.24637968657012,26.34781940365376,115.59419909022388
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,64,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,64,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,64,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,64,3,0.19432624190936854,0,89.24637968657012,27.236144991940368,116.48252467851049
0,64,64,2,0.11833238136187792,0,89.24637968657012,26.31014014180954,115.55651982837966
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,64,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,64,2,0.11855224468230362,0,89.24637968657012,26.31036000512997,115.55673969170009
0,64,64,1,0.06642357603288464,0,89.24637968657012,25.708220971897216,114.95460065846734
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,1,0.06397726668776355,0,89.24637968657012,25.705774662552095,114.95215434912222
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,1,0.06397726668776355,0,89.24637968657012,25.705774662552095,114.95215434912222
0,64,64,2,0.1075687868437968,0,89.24637968657012,26.299376547291462,115.54575623386158
0,64,64,1,0.06481828228184901,0,89.24637968657012,25.70661567814618,114.9529953647163
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,1,0.06481828228184901,0,89.24637968657012,25.70661567814618,114.9529953647163
0,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
0,64,64,1,0.09290591809036647,0,89.24637968657012,25.734703313954697,114.98108300052482
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,64,2,0.1141854784497994,0,89.24637968657012,26.305993238897464,115.55237292546758
0,64,64,1,0.0408818420858179,0,89.24637968657012,25.682679237950147,114.92905892452026
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,1,0.0408818420858179,0,89.24637968657012,25.682679237950147,114.92905892452026
0,64,64,2,0.06074258134970379,0,89.24637968657012,26.252550341797367,115.49893002836748
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,2,0.06072400278278044,0,89.24637968657012,26.252531763230444,115.49891144980057
0,64,64,1,0.03854869036645033,0,89.24637968657012,25.68034608623078,114.9267257728009
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,64,1,0.03854869036645033,0,89.24637968657012,25.68034608623078,114.9267257728009
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,1,0.04501864461357907,0,89.24637968657012,25.68681604047791,114.93319572704803
0,64,64,2,0.06200585334195437,0,89.24637968657012,26.253813613789617,115.50019330035974
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,2,0.061993998645891224,0,89.24637968657012,26.253801759093555,115.50018144566369
0,64,64,3,0.11773542167349257,0,89.24637968657012,27.159554171704492,116.40593385827461
0,64,64,4,0.17258468301084676,0,89.24637968657012,28.364415360125175,117.6107950466953
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
2,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
0,64,64,5,0.19815452169901007,0,89.24637968657012,29.839998375896677,119.08637806246679
0,64,64,4,0.10970446650773887,0,89.24637968657012,28.30153514362207,117.54791483019218
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,4,0.15195544349333392,0,89.24637968657012,28.343786120607664,117.59016580717778
0,64,64,3,0.09733281546189153,0,89.24637968657012,27.139151565492888,116.385531252063
0,64,64,2,0.07829505365913722,0,89.24637968657012,26.270102814106803,115.51648250067693
0,64,64,1,0.03560617437104514,0,89.24637968657012,25.677403570235377,114.9237832568055
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,64,1,0.03560617437104514,0,89.24637968657012,25.677403570235377,114.9237832568055
0,64,64,2,0.0630043330768813,0,89.24637968657012,26.254812093524546,115.50119178009467
0,64,64,1,0.046960137280012616,0,89.24637968657012,25.688757533144344,114.93513721971446
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,1,0.046960137280012616,0,89.24637968657012,25.688757533144344,114.93513721971446
0,64,64,2,0.11155382000486427,0,89.24637968657012,26.303361580452528,115.54974126702265
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,2,0.11156774155922551,0,89.24637968657012,26.30337550200689,115.54975518857701
0,64,64,1,0.08445057371584518,0,89.24637968657012,25.726247969580175,114.9726276561503
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,2,0.14257208124535894,0,89.24637968657012,26.33437984169302,115.58075952826314
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
2,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
3,64,64,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,64,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,64,2,0.14290735236898522,0,89.24637968657012,26.33471511281665,115.58109479938678
0,64,64,1,0.0631837074842786,0,89.24637968657012,25.704981103348608,114.95136078991874
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,64,1,0.05359229813667484,0,89.24637968657012,25.695389694001005,114.94176938057113
1,64,64,2,0.09928979882234788,0,89.24637968657012,26.29109755927001,115.53747724584014
