bs,M,m,K,R,S,Pnl,Pld,P
0,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
1,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
2,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
3,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
4,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
5,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
6,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,60,1,0.09983315553028829,0,89.24637968657012,24.139018217408307,113.38539790397843
1,64,60,1,0.07153474466347716,0,89.24637968657012,24.110719806541496,113.35709949311162
3,64,60,1,0.08376062320387592,0,89.24637968657012,24.122945685081895,113.36932537165202
5,64,60,1,0.17381957641069656,0,89.24637968657012,24.213004638288716,113.45938432485883
5,64,60,2,0.24265747412397676,0,89.24637968657012,24.797477275585326,114.04385696215544
0,64,60,2,0.14269407286948163,0,89.24637968657012,24.69751387433083,113.94389356090096
5,64,60,1,0.09018937442334236,0,89.24637968657012,24.12937443630136,113.37575412287148
6,64,60,1,0.11597300985978712,0,89.24637968657012,24.155158071737805,113.40153775830792
0,64,60,1,0.07910674624396635,0,89.24637968657012,24.118291808121985,113.3646714946921
3,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,1,0.08525174469410844,0,89.24637968657012,25.72704914055844,114.97342882712856
1,64,56,1,0.06362318237876391,0,89.24637968657012,22.500195910270467,111.74657559684059
2,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,56,0,0.0,0,89.24637968657012,0.0,89.24637968657012
5,64,60,1,0.0785487229727819,0,89.24637968657012,24.117733784850802,113.36411347142092
6,64,60,1,0.11595669454243462,0,89.24637968657012,24.155141756420452,113.40152144299057
1,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,48,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,48,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,48,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,48,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,44,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,44,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,44,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,44,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,48,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,48,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,48,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,44,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,44,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,36,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,36,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,48,1,0.07658369758795362,0,89.24637968657012,19.307931757507035,108.55431144407716
1,64,40,2,0.12737683090802415,0,89.24637968657012,16.497256837437817,105.74363652400794
4,64,36,1,0.06791327924760117,0,89.24637968657012,14.491424337207746,103.73780402377787
6,64,40,2,0.11498554614916023,0,89.24637968657012,16.48486555267895,105.73124523924908
3,64,36,1,0.061640733896555375,0,89.24637968657012,14.4851517918567,103.73153147842682
1,64,40,1,0.053416674603095876,0,89.24637968657012,16.07954006654955,105.32591975311968
4,64,36,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,48,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,36,1,0.06818854587182771,0,89.24637968657012,14.491699603831972,103.7380792904021
6,64,40,3,0.11072663725692468,0,89.24637968657012,17.011863883370047,106.25824356994016
4,64,36,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,40,2,0.05275196604589104,0,89.24637968657012,16.422631972575683,105.66901165914581
6,64,40,1,0.0008505146405735053,0,89.24637968657012,16.02697390658703,105.27335359315715
1,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,36,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,32,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,32,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,36,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,36,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,36,2,0.08385242447809942,0,89.24637968657012,14.816744472021577,104.0631241585917
6,64,36,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,36,2,0.08413953879717125,0,89.24637968657012,14.817031586340649,104.06341127291077
6,64,36,1,0.04400420274060168,0,89.24637968657012,14.467515260700747,103.71389494727087
1,64,44,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,36,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,40,1,0.05495628951631111,0,89.24637968657012,16.081079681462768,105.32745936803289
3,64,32,2,0.0845208571618768,0,89.24637968657012,13.180424945719043,102.42680463228916
6,64,36,1,0.040036485091675914,0,89.24637968657012,14.46354754305182,103.70992722962194
6,64,36,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,40,2,0.13366854481035415,0,89.24637968657012,16.503548551340145,105.74992823791027
2,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,32,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,40,2,0.14279622976811565,0,89.24637968657012,16.512676236297906,105.75905592286803
3,64,32,2,0.08438434950750628,0,89.24637968657012,13.180288438064672,102.4266681246348
2,64,40,1,0.05038594195139888,0,89.24637968657012,16.076509333897857,105.32288902046798
3,64,32,1,0.045271830580255995,0,89.24637968657012,12.866170554554088,102.11255024112421
2,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,32,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,32,1,0.053314601368968866,0,89.24637968657012,12.8742133253428,102.12059301191292
3,64,32,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,44,2,0.19021636254480914,0,89.24637968657012,18.19708432806091,107.44346401463103
4,64,32,1,0.04930988719536549,0,89.24637968657012,12.870208611169197,102.11658829773933
5,64,36,3,0.20348531428307973,0,89.24637968657012,15.414508976409891,104.66088866298001
0,64,48,1,0.06856672137976894,0,89.24637968657012,19.299914781298853,108.54629446786898
1,64,44,1,0.09256369562713174,0,89.24637968657012,17.7212994215599,106.96767910813003
5,64,36,2,0.11538148780972574,0,89.24637968657012,14.848273535353202,104.09465322192332
1,64,44,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,36,1,0.039834543328272264,0,89.24637968657012,14.463345601288417,103.70972528785853
0,64,44,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,36,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,28,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,36,1,0.049083612294369215,0,89.24637968657012,14.472594670254514,103.71897435682463
5,64,40,1,0.04302155732809964,0,89.24637968657012,16.069144949274556,105.31552463584468
6,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,44,1,0.06553971382011477,0,89.24637968657012,17.694275439752882,106.94065512632301
4,64,36,0,0.0,1,61.58000198373338,0.0,61.58000198373338
