bs,M,m,K,R,S,Pnl,Pld,P
0,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
1,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
2,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
3,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
4,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
5,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
6,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
0,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,60,1,0.13252104171672813,0,89.24637968657012,24.171706103594747,113.41808579016487
1,64,60,1,0.11837807469965954,0,89.24637968657012,24.15756313657768,113.4039428231478
3,64,60,1,0.07973526770983315,0,89.24637968657012,24.11892032958785,113.36530001615797
3,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,60,1,0.08146739415009824,0,89.24637968657012,24.120652456028118,113.36703214259825
1,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,60,1,0.08693932063747807,0,89.24637968657012,24.126124382515496,113.37250406908562
3,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,60,1,0.10184354552903652,0,89.24637968657012,24.141028607407055,113.38740829397717
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,60,1,0.04694186124023634,0,89.24637968657012,24.086126923118254,113.33250660968838
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,60,1,0.04694186124023634,0,89.24637968657012,24.086126923118254,113.33250660968838
0,64,60,2,0.07819034636877108,0,89.24637968657012,24.63301014783012,113.87938983440024
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,60,2,0.07846012685804891,0,89.24637968657012,24.6332799283194,113.87965961488952
0,64,60,1,0.051408253146944076,0,89.24637968657012,24.090593315024964,113.33697300159508
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,60,1,0.051408253146944076,0,89.24637968657012,24.090593315024964,113.33697300159508
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,60,1,0.05254944998984424,0,89.24637968657012,24.091734511867863,113.33811419843798
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,60,1,0.05254944998984424,0,89.24637968657012,24.091734511867863,113.33811419843798
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,60,1,0.05254944998984424,0,89.24637968657012,24.091734511867863,113.33811419843798
0,64,60,2,0.1139155871228643,0,89.24637968657012,24.668735388584214,113.91511507515433
0,64,60,3,0.1506684532399195,0,89.24637968657012,25.502373619284604,114.74875330585473
0,64,60,2,0.12603705604135257,0,89.24637968657012,24.680856857502704,113.92723654407283
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,60,2,0.12596410969679986,0,89.24637968657012,24.68078391115815,113.92716359772828
0,64,60,2,0.09383894250483768,0,89.24637968657012,24.648658743966188,113.89503843053632
0,64,60,3,0.11030727447292253,0,89.24637968657012,25.462012440517608,114.70839212708773
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,60,3,0.11031037532767893,0,89.24637968657012,25.462015541372363,114.70839522794249
0,64,60,2,0.07448525631132734,0,89.24637968657012,24.629305057772676,113.8756847443428
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,60,2,0.07470301715513343,0,89.24637968657012,24.629522818616483,113.8759025051866
0,64,60,1,0.04440333618828548,0,89.24637968657012,24.083588398066304,113.32996808463642
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,64,1,0.0810182733754268,0,89.24637968657012,25.722815669239758,114.96919535580989
4,64,64,1,0.10461390927241207,0,89.24637968657012,25.746411305136743,114.99279099170687
5,64,64,1,0.0845848682607555,0,89.24637968657012,25.726382264125085,114.9727619506952
5,64,64,2,0.14462414339663698,0,89.24637968657012,26.3364319038443,115.58281159041442
0,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
1,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,60,1,0.1038409418919254,0,89.24637968657012,24.143026003769943,113.38940569034007
5,64,64,2,0.1467626742724244,0,89.24637968657012,26.33857043472009,115.5849501212902
4,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,60,1,0.07855063341967616,0,89.24637968657012,24.117735695297696,113.36411538186782
5,64,64,1,0.10131634629325026,0,89.24637968657012,25.74311374215758,114.9894934287277
5,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,60,0,0.0,0,89.24637968657012,0.0,89.24637968657012
0,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,64,1,0.07672386278806596,0,89.24637968657012,25.718521258652395,114.96490094522252
0,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,64,1,0.07672386278806596,0,89.24637968657012,25.718521258652395,114.96490094522252
5,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,56,1,0.03986709094060944,0,89.24637968657012,22.476439818832315,111.72281950540244
2,64,56,2,0.06999693505421067,0,89.24637968657012,22.987828777529252,112.23420846409937
2,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,56,2,0.0700434229708848,0,89.24637968657012,22.987875265445926,112.23425495201604
2,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,56,2,0.07022984674726647,0,89.24637968657012,22.988061689222306,112.23444137579243
2,64,56,3,0.10987783361413149,0,89.24637968657012,23.771469415672506,113.01784910224262
2,64,56,2,0.08691228394553864,0,89.24637968657012,23.00474412642058,112.2511238129907
2,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,56,2,0.0869030511079489,0,89.24637968657012,23.004734893582988,112.25111458015311
2,64,56,1,0.06653245600345685,0,89.24637968657012,22.503105183895162,111.74948487046528
2,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,56,1,0.06653245600345685,0,89.24637968657012,22.503105183895162,111.74948487046528
2,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,1,0.15376401716277,0,89.24637968657012,25.7955614130271,115.04194109959722
5,64,64,1,0.07820370000988248,0,89.24637968657012,25.720001095874213,114.96638078244433
6,64,60,1,0.12240376042389384,0,89.24637968657012,24.161588822301912,113.40796850887203
0,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
1,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,64,1,0.08221515656004055,0,89.24637968657012,25.72401255242437,114.97039223899449
6,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,60,1,0.1298289805893025,0,89.24637968657012,24.16901404246732,113.41539372903745
6,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,60,1,0.03888082287847548,0,89.24637968657012,24.078065884756494,113.32444557132662
0,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
