bs,M,m,K,R,S,Pnl,Pld,P
0,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
1,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
2,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
3,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
4,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
5,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
6,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
0,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,60,1,0.09391825345639795,0,89.24637968657012,24.133103315334417,113.37948300190453
6,64,60,1,0.06935438548510761,0,89.24637968657012,24.10853944736313,113.35491913393325
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
6,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,60,1,0.09391825345639795,0,89.24637968657012,24.133103315334417,113.37948300190453
6,64,60,1,0.06935438548510761,0,89.24637968657012,24.10853944736313,113.35491913393325
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,60,2,0.08568392529264089,0,89.24637968657012,24.64050372675399,113.88688341332411
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,60,2,0.08564361467457333,0,89.24637968657012,24.640463416135923,113.88684310270605
0,64,60,3,0.11397066536758091,0,89.24637968657012,25.465675831412266,114.71205551798239
0,64,60,4,0.1922728723324954,0,89.24637968657012,26.622114340460513,115.86849402703064
0,64,60,5,0.2046989429875475,0,89.24637968657012,27.9939279631989,117.24030764976902
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,60,5,0.20461517653170314,0,89.24637968657012,27.99384419674306,117.24022388331318
0,64,60,4,0.17713368643225114,0,89.24637968657012,26.60697515456027,115.8533548411304
0,64,60,3,0.011028816050238864,0,89.24637968657012,25.362733982094923,114.60911366866505
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,60,3,0.09905455241450062,0,89.24637968657012,25.450759718459185,114.6971394050293
0,64,60,2,0.06927902039559841,0,89.24637968657012,24.624098821856947,113.87047850842707
0,64,60,1,0.04705123043646419,0,89.24637968657012,24.086236292314485,113.3326159788846
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,60,1,0.04705123043646419,0,89.24637968657012,24.086236292314485,113.3326159788846
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,60,2,0.11530244812255118,0,89.24637968657012,24.6701222495839,113.91650193615402
0,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,60,2,0.11537571655361692,0,89.24637968657012,24.670195518014967,113.91657520458509
6,64,60,1,0.06195859150472148,0,89.24637968657012,24.101143653382742,113.34752333995286
6,64,60,0,0.0,0,89.24637968657012,0.0,89.24637968657012
6,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,52,2,0.178475111826989,0,89.24637968657012,21.459318995315716,110.70569868188583
3,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,52,2,0.17855789603569616,0,89.24637968657012,21.459401779524423,110.70578146609455
3,64,52,1,0.09456401046918626,0,89.24637968657012,20.928524404374578,110.1749040909447
3,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,52,1,0.087442565334472,0,89.24637968657012,20.921402959239867,110.16778264581
3,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,52,1,0.087442565334472,0,89.24637968657012,20.921402959239867,110.16778264581
3,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,60,2,0.20828088268992656,0,89.24637968657012,24.763100684151276,114.0094803707214
6,64,56,1,0.11938390363611687,0,89.24637968657012,22.55595663152782,111.80233631809794
4,64,48,1,0.11145537953724065,0,89.24637968657012,19.342803439456322,108.58918312602644
0,64,60,0,0.0,0,89.24637968657012,0.0,89.24637968657012
1,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,44,1,0.10628685052601854,0,89.24637968657012,17.735022576458785,106.98140226302891
5,64,60,3,0.3052488792289441,0,89.24637968657012,25.65695404527363,114.90333373184376
6,64,52,1,0.11375728040280372,0,89.24637968657012,20.947717674308198,110.19409736087832
6,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,60,2,0.24320524729838675,0,89.24637968657012,24.798025048759737,114.04440473532986
5,64,60,1,0.1632912049415415,0,89.24637968657012,24.20247626681956,113.44885595338968
4,64,44,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,44,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,40,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,44,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,56,1,0.04969931125067601,0,89.24637968657012,22.48627203914238,111.7326517257125
3,64,44,1,0.06821476679095681,0,89.24637968657012,17.696950492723722,106.94333017929384
5,64,56,1,0.06452872292402556,0,89.24637968657012,22.50110145081573,111.74748113738585
0,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,44,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,36,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,40,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,56,1,0.04969931125067601,0,89.24637968657012,22.48627203914238,111.7326517257125
3,64,40,1,0.06545822750418892,0,89.24637968657012,16.091581619450643,105.33796130602076
5,64,52,1,0.06246198883318451,0,89.24637968657012,20.896422382738578,110.1428020693087
3,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,40,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,36,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,32,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,36,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,56,1,0.04969931125067601,0,89.24637968657012,22.48627203914238,111.7326517257125
0,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
