bs,M,m,K,R,S,Pnl,Pld,P
0,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
1,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
2,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
3,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
4,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
5,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
6,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
0,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,60,1,0.07143867855898814,0,89.24637968657012,24.110623740437006,113.35700342700713
1,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,60,1,0.07143867855898814,0,89.24637968657012,24.110623740437006,113.35700342700713
5,64,60,1,0.08640297049408359,0,89.24637968657012,24.125588032372104,113.37196771894223
1,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,64,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,64,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,56,1,0.08661562735318737,0,89.24637968657012,22.52318835524489,111.769568041815
5,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,56,1,0.07075701905484007,0,89.24637968657012,22.507329746946546,111.75370943351666
4,64,64,1,0.13843137797800875,0,89.24637968657012,25.78022877384234,115.02660846041246
6,64,56,1,0.12498847199447709,0,89.24637968657012,22.56156119988618,111.80794088645631
4,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,56,1,0.07075701905484007,0,89.24637968657012,22.507329746946546,111.75370943351666
1,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,64,1,0.14731960419469362,0,89.24637968657012,25.789117000059022,115.03549668662914
1,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,64,1,0.14731960419469362,0,89.24637968657012,25.789117000059022,115.03549668662914
4,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,52,1,0.09461054678980202,0,89.24637968657012,20.928570940695195,110.17495062726532
2,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,52,1,0.09461054678980202,0,89.24637968657012,20.928570940695195,110.17495062726532
2,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,1,0.08459283412959633,0,89.24637968657012,25.726390229993928,114.97276991656405
0,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
2,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,64,2,0.18977557802086228,0,89.24637968657012,26.381583338468527,115.62796302503865
3,64,64,1,0.13652316663707445,0,89.24637968657012,25.778320562501406,115.02470024907153
4,64,64,1,0.08934684863047494,0,89.24637968657012,25.731144244494804,114.97752393106492
3,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,48,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,48,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,60,1,0.13924855420847634,0,89.24637968657012,24.178433616086494,113.42481330265662
3,64,60,0,0.0,0,89.24637968657012,0.0,89.24637968657012
5,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,64,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,1,0.10102999021920839,0,89.24637968657012,25.74282738608354,114.98920707265367
1,64,52,1,0.07115580789320555,0,89.24637968657012,20.9051162017986,110.15149588836871
2,64,48,1,0.08324597244573799,0,89.24637968657012,19.31459403236482,108.56097371893495
4,64,64,1,0.15396749760018827,0,89.24637968657012,25.79576489346452,115.04214458003464
5,64,64,1,0.09203889160320465,0,89.24637968657012,25.733836287467536,114.98021597403766
4,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,48,0,0.0,0,89.24637968657012,0.0,89.24637968657012
1,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,52,1,0.08653198823303049,0,89.24637968657012,20.920492382138423,110.16687206870854
1,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,64,1,0.08092821158644815,0,89.24637968657012,25.72272560745078,114.9691052940209
0,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,44,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,44,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,64,1,0.08092821158644815,0,89.24637968657012,25.72272560745078,114.9691052940209
5,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,44,1,0.052716158850611795,0,89.24637968657012,17.681451884783378,106.9278315713535
0,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,44,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,40,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,44,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,44,1,0.052716158850611795,0,89.24637968657012,17.681451884783378,106.9278315713535
6,64,44,2,0.13852358512788743,0,89.24637968657012,18.14539155064399,107.39177123721412
6,64,44,1,0.10718465738967478,0,89.24637968657012,17.73592038332244,106.98230006989256
0,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,36,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,44,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,44,2,0.17071040448398883,0,89.24637968657012,18.17757837000009,107.42395805657021
6,64,44,1,0.08425564115151991,0,89.24637968657012,17.712991367084285,106.95937105365441
0,64,64,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,44,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,32,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,44,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,48,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,44,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,44,1,0.08425564115151991,0,89.24637968657012,17.712991367084285,106.95937105365441
6,64,44,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,40,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,60,1,0.13919825557512208,0,89.24637968657012,24.17838331745314,113.42476300402326
1,64,48,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,36,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,48,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,44,0,0.0,0,89.24637968657012,0.0,89.24637968657012
5,64,60,1,0.13919825557512208,0,89.24637968657012,24.17838331745314,113.42476300402326
6,64,44,1,0.11747329282496524,0,89.24637968657012,17.74620901875773,106.99258870532785
5,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,44,0,0.0,0,89.24637968657012,0.0,89.24637968657012
3,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,40,0,0.0,2,44.62318984328506,0.0,44.62318984328506
