bs,M,m,K,R,S,Pnl,Pld,P
0,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
1,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
2,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
3,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
4,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
5,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
6,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
0,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
0,64,60,1,0.09391825345639795,0,89.24637968657012,24.133103315334417,113.37948300190453
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,60,1,0.09391825345639795,0,89.24637968657012,24.133103315334417,113.37948300190453
6,64,60,1,0.06935438548510761,0,89.24637968657012,24.10853944736313,113.35491913393325
0,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,60,1,0.07163111136122625,0,89.24637968657012,24.110816173239247,113.35719585980937
6,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,56,1,0.10243604343916972,0,89.24637968657012,22.539008771330874,111.78538845790099
1,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,56,1,0.10243604343916972,0,89.24637968657012,22.539008771330874,111.78538845790099
5,64,60,1,0.08375091639458766,0,89.24637968657012,24.122935978272608,113.36931566484273
1,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,56,1,0.05653107992262919,0,89.24637968657012,22.493103807814332,111.73948349438446
1,64,56,1,0.11868258568218301,0,89.24637968657012,22.555255313573888,111.80163500014402
6,64,56,2,0.12961874669447435,0,89.24637968657012,23.047450589169515,112.29383027573964
5,64,60,0,0.0,0,89.24637968657012,0.0,89.24637968657012
1,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,56,1,0.12399363480582952,0,89.24637968657012,22.560566362697532,111.80694604926765
6,64,56,2,0.13420559813198424,0,89.24637968657012,23.052037440607023,112.29841712717715
0,64,64,1,0.10709963347969438,0,89.24637968657012,25.748897029344025,114.99527671591414
1,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,56,1,0.05873884896518876,0,89.24637968657012,22.495311576856892,111.74169126342701
0,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
0,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,52,1,0.05785765395876216,0,89.24637968657012,20.891818047864156,110.13819773443427
6,64,52,0,0.0,0,89.24637968657012,0.0,89.24637968657012
1,64,52,1,0.07832735049008392,0,89.24637968657012,20.912287744395478,110.15866743096561
0,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,52,1,0.07832735049008392,0,89.24637968657012,20.912287744395478,110.15866743096561
1,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,52,1,0.10453657800959125,0,89.24637968657012,20.938496971914983,110.18487665848511
3,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,52,1,0.10453657800959125,0,89.24637968657012,20.938496971914983,110.18487665848511
3,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,52,1,0.09456401046918626,0,89.24637968657012,20.928524404374578,110.1749040909447
3,64,52,0,0.0,0,89.24637968657012,0.0,89.24637968657012
5,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,44,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,40,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,36,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,52,1,0.087442565334472,0,89.24637968657012,20.921402959239867,110.16778264581
3,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,44,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,32,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,52,1,0.087442565334472,0,89.24637968657012,20.921402959239867,110.16778264581
3,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,32,1,0.11277761450209245,0,89.24637968657012,12.933676338475925,102.18005602504604
0,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,56,0,0.0,0,89.24637968657012,0.0,89.24637968657012
2,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,44,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,32,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,32,1,0.11277761450209245,0,89.24637968657012,12.933676338475925,102.18005602504604
6,64,32,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,44,2,0.19013509362470732,0,89.24637968657012,18.19700305914081,107.44338274571093
4,64,44,1,0.11129359878972601,0,89.24637968657012,17.740029324722492,106.98640901129261
5,64,44,1,0.09146130564629039,0,89.24637968657012,17.72019703157906,106.96657671814918
0,64,64,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,36,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,40,2,0.22681170135282075,0,89.24637968657012,16.596691707882613,105.84307139445274
4,64,40,1,0.10899134338490499,0,89.24637968657012,16.13511473533136,105.38149442190148
5,64,40,1,0.15189675355134147,0,89.24637968657012,16.178020145497797,105.42439983206792
4,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,40,1,0.05784321218809284,0,89.24637968657012,16.08396660413455,105.33034629070467
0,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,36,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,32,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,40,1,0.05784321218809284,0,89.24637968657012,16.08396660413455,105.33034629070467
5,64,40,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,48,1,0.09226214316996821,0,89.24637968657012,19.32361020308905,108.56998988965917
3,64,48,1,0.07238890058874944,0,89.24637968657012,19.30373696050783,108.55011664707796
1,64,48,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,48,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,32,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,36,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,28,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,48,1,0.07324827895250344,0,89.24637968657012,19.304596338871587,108.55097602544171
3,64,48,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,36,1,0.12153052016599494,0,89.24637968657012,14.54504157812614,103.79142126469627
0,64,64,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,44,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,44,0,0.0,2,44.62318984328506,0.0,44.62318984328506
