bs,M,m,K,R,S,Pnl,Pld,P
0,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
1,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
2,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
3,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
4,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
5,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
6,64,64,0,0.0,0,89.24637968657012,0.0,89.24637968657012
0,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
1,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,60,1,0.1070054187360884,0,89.24637968657012,24.14619048061411,113.39257016718423
0,64,64,0,0.0,3,25.881450109105334,0.0,25.881450109105334
1,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,64,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,60,1,0.1070054187360884,0,89.24637968657012,24.14619048061411,113.39257016718423
4,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,56,1,0.15541404483373766,0,89.24637968657012,22.59198677272544,111.83836645929557
1,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,56,1,0.15541404483373766,0,89.24637968657012,22.59198677272544,111.83836645929557
2,64,56,1,0.14592436222763272,0,89.24637968657012,22.582497090119336,111.82887677668946
1,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,1,0.08254795900233779,0,89.24637968657012,25.724345354866667,114.9707250414368
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,56,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,64,1,0.08254795900233779,0,89.24637968657012,25.724345354866667,114.9707250414368
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,60,2,0.19696951708265012,0,89.24637968657012,24.751789318544,113.99816900511412
2,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,60,2,0.1969292312478888,0,89.24637968657012,24.751749032709238,113.99812871927936
2,64,60,1,0.05703874279527507,0,89.24637968657012,24.096223804673294,113.34260349124341
2,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,60,1,0.07211896586681446,0,89.24637968657012,24.111304027744833,113.35768371431496
2,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,1,0.18595526589681605,0,89.24637968657012,25.827752661761146,115.07413234833126
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,64,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,64,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,64,1,0.18595526589681605,0,89.24637968657012,25.827752661761146,115.07413234833126
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,56,1,0.09860878610561617,0,89.24637968657012,22.53518151399732,111.78156120056744
6,64,56,1,0.1242101413198823,0,89.24637968657012,22.560782869211586,111.8071625557817
6,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,60,1,0.09039602778095399,0,89.24637968657012,24.129581089658974,113.37596077622909
3,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,52,0,0.0,3,25.881450109105334,0.0,25.881450109105334
6,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,64,1,0.09633497711065621,0,89.24637968657012,25.738132372974988,114.98451205954511
5,64,52,1,0.08367657482197859,0,89.24637968657012,20.917636968727372,110.1640166552975
3,64,56,1,0.06369835508361532,0,89.24637968657012,22.50027108297532,111.74665076954544
4,64,48,1,0.07920719095521346,0,89.24637968657012,19.310555250874295,108.55693493744442
2,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
1,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,60,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,44,1,0.07546597537641922,0,89.24637968657012,17.704201701309188,106.95058138787931
5,64,48,1,0.06832987785898242,0,89.24637968657012,19.299677937778064,108.54605762434818
6,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,48,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,52,1,0.08544926626253836,0,89.24637968657012,20.919409660167933,110.16578934673805
4,64,44,0,0.0,1,61.58000198373338,0.0,61.58000198373338
3,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,40,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,44,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,44,0,0.0,3,25.881450109105334,0.0,25.881450109105334
3,64,52,1,0.08774697291050433,0,89.24637968657012,20.921707366815898,110.16808705338602
3,64,52,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,36,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,40,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,40,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,32,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,36,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,36,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,28,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,32,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,40,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,24,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,28,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,44,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,28,0,0.0,1,61.58000198373338,0.0,61.58000198373338
5,64,32,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,48,0,0.0,3,25.881450109105334,0.0,25.881450109105334
2,64,60,1,0.11736116337352753,0,89.24637968657012,24.156546225251546,113.40292591182167
2,64,60,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,24,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,28,0,0.0,2,44.62318984328506,0.0,44.62318984328506
6,64,44,0,0.0,3,25.881450109105334,0.0,25.881450109105334
4,64,20,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,24,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,56,1,0.09874749821877798,0,89.24637968657012,22.535320226110482,111.78169991268061
0,64,64,1,0.08690346156149002,0,89.24637968657012,25.72870085742582,114.97508054399594
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
4,64,16,0,0.0,3,25.881450109105334,0.0,25.881450109105334
5,64,20,0,0.0,3,25.881450109105334,0.0,25.881450109105334
0,64,64,1,0.08916544736102658,0,89.24637968657012,25.730962843225356,114.97734252979548
2,64,56,1,0.09304098751491853,0,89.24637968657012,22.529613715406622,111.77599340197675
2,64,56,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,64,0,0.0,1,61.58000198373338,0.0,61.58000198373338
2,64,52,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,20,2,0.14829325558038575,0,89.24637968657012,8.333233467178614,97.57961315374874
1,64,56,0,0.0,2,44.62318984328506,0.0,44.62318984328506
2,64,48,0,0.0,2,44.62318984328506,0.0,44.62318984328506
3,64,44,0,0.0,2,44.62318984328506,0.0,44.62318984328506
4,64,20,0,0.0,2,44.62318984328506,0.0,44.62318984328506
5,64,20,0,0.0,1,61.58000198373338,0.0,61.58000198373338
6,64,48,0,0.0,0,89.24637968657012,0.0,89.24637968657012
5,64,20,2,0.15730841286379263,0,89.24637968657012,8.342248624462021,97.58862831103214
5,64,20,1,0.09283771871185918,0,89.24637968657012,8.105899440726754,97.35227912729688
5,64,20,0,0.0,1,61.58000198373338,0.0,61.58000198373338
0,64,60,0,0.0,2,44.62318984328506,0.0,44.62318984328506
