month,day,weekday,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
01,01,Sat,10431316.195081918,10639931.709536152,7912736.011671617,7600576.586945271,8250813.668632226,1796153.1162661116,7777014.515727446,8591936.621345598,8221357.382740472,9613433.611904705,7609587.610998499,7463455.346623608,6338223.762465184,8625333.836408075,6113281.359033619,7407145.346061228,9628812.046631718,11330401.542778572,8932203.34056166,10868224.275988111,9496401.211016411,10957685.456842652,10696064.133990912,7626001.738882954,9540335.462854141,14180257.982087862,13234688.553966906,14014664.054892201,15849462.035890682,13762921.31676736,15392709.873464286,14085012.192462131,11866264.921502138,12216837.8934755,12917146.113855138,14040988.043409139,13619613.78687772,13627693.741659937,12884124.495082995,11742709.44110404,13685536.959368749,12103374.554375619,13022099.863930484,23975283.289768416,15855481.273353849,12994807.097603729,10375208.293942112,10425854.041508134
01,02,Sun,9185158.368759515,6830184.59193384,5039097.841498678,9944159.728855232,7012838.744787342,6605784.046308599,6144451.76102899,6526122.867706729,5012436.39136977,1328622.1908040722,5249452.070482751,6642742.0610027695,6356181.16538147,8018721.695734882,7283024.505894527,7548087.796437393,9573481.806876568,12153399.91849544,8395370.422625635,8535831.457818449,13602381.094772568,12185794.503945697,9605081.898843545,10478641.35223933,11857233.005574761,11099680.812178778,11287549.98892295,11614860.178881174,11388107.986632267,6385967.66602627,13744521.899723532,11222931.541185996,11770460.031690184,11118649.464825055,12162873.794744028,13179473.901354909,11492136.05927394,12272277.76092891,10605399.905649537,11402030.758572694,11909558.156819787,12583232.5612669,11948487.761446455,8299099.810869419,11090785.373900708,8189382.284197516,5659387.830983265,7805734.632393633
01,03,Mon,5960626.318979473,8176266.427472881,5459915.862637019,3582098.288074068,5324859.623820166,6163490.032807284,4467784.978553543,5223735.65491326,3481489.6922066617,4372968.528965975,5514491.600379313,6119035.59119954,6715899.327509585,7350148.840349384,9426994.13172797,9663152.558524054,11350471.541362511,10273395.556765588,9897321.16714495,11108717.359390633,10495532.184562724,12215314.70030847,11408737.57826817,10575536.32143754,12383275.49697213,11645784.22482484,11307630.458939988,13416080.427179951,13810646.31961271,14270042.586562688,13994935.750866855,14973984.670862198,13758784.036459645,13291939.00256558,12719631.672579376,2329862.767489765,14658549.550500114,9930258.463694606,10679301.79611154,11174049.487549514,11355239.005170556,10559257.753375188,9198248.858992135,10417823.14473115,9450849.597265676,7119399.7169635,7505325.4623537,5719219.062370694
01,04,Tue,8565451.78040763,5349913.115124482,6704616.498335547,6197604.978723793,6058576.580253867,5221211.980973674,7878215.518874991,6424498.370087978,4770056.670323729,4587187.196374228,6624395.5177080715,6851418.472832675,8420907.485227557,8694252.269323261,9865230.871563027,9581144.852698216,9162377.126446169,10637805.173331056,9847918.921331715,12135740.603951426,16461761.351352084,11527468.712087464,15813351.111265812,14218031.740824377,14032920.108170034,12727558.358044226,10019097.780447427,13760319.140437914,14702182.797285853,2239337.976677832,12393075.027264556,11672206.393309219,14350002.31630458,9289554.199275509,12289042.896561472,12220251.765656697,11452374.685665937,12149267.985447463,10132271.456088021,10691180.407752628,10875297.744333481,11599193.876492983,11148947.489376673,3023353.369233723,11294518.633774376,11630921.29423897,13264112.460992966,8999606.569769824
01,05,Wed,8802128.532236923,10138899.04382715,8647944.616290798,6758736.190564511,7423250.616812373,8159142.811122141,6891135.838578021,6568356.46215906,7944559.692380759,6143177.067585779,5460644.956663362,7157967.686906792,9477914.400158897,8682455.531993296,12103527.39561166,10496458.161762226,10850713.732537422,12320809.944758592,11982173.112090666,3222368.6405068687,10012547.883411184,10376627.797715886,10054908.636455301,11959038.293401107,10191250.878132576,1636385.2656345193,14245460.752683755,15958181.466299798,14161404.922015477,14370600.512727173,13831260.262603315,11792446.111534247,14368188.072556552,12559335.958630202,12198675.157753775,7377669.400660097,7690808.41876495,12387761.74107076,10936024.901214207,12628834.60406789,16276263.567311604,12474703.389416685,10279996.934768816,2433706.885691104,9874735.209116517,6631520.041293399,9803562.675082391,829238.8683314776
01,06,Thu,11963652.869962377,10996626.97135396,8530511.85919853,9824071.158354346,7772326.575825674,8453529.398283212,7517869.178435591,5329416.752068596,5323992.863073624,5336288.162046375,4941079.45139081,5377636.193153906,6429349.121333683,7300202.687295789,9570599.700753046,8264121.076499982,11312343.172470536,13637717.431028262,14769147.661932161,7165423.395568192,10709224.900118899,9903585.347199934,11835450.405708304,14398654.456006702,12536200.096906204,11216350.159664918,11918956.787610097,12193094.320669146,9863224.194023913,11583376.512521194,12619277.028109375,10926552.414695041,13629376.191405922,12377342.126938878,11906824.221943704,12873077.926635036,14361656.95946902,13557208.33938441,11990640.58178758,12384302.928022334,10848862.026012119,11275435.469713544,11200105.373117613,11432333.802985227,9632075.131508473,11239455.001374668,10262057.85222387,11166313.104860265
01,07,Fri,9302897.007312037,10638674.424258491,7491576.104321386,7228400.509332253,7771784.669994759,7673605.179716862,8602463.203930182,8898778.651647896,7267125.292570269,8321505.437222022,7870408.169731496,8706184.597760994,9275512.09941732,8894898.425864046,12335157.695239117,12504534.321177928,10439602.62141952,10271914.971491711,10167344.636286166,11159189.04231188,13740699.801731968,13521021.671051275,11345556.337075543,12731704.33397628,13901271.77087847,6578308.508420313,10905105.452347824,11811900.288628211,11618030.724537507,11288959.091654135,13316250.73602316,11097860.589690926,11319947.10761411,11649173.386250678,13291731.08967888,11812199.307937587,11715941.954237083,10650214.244555984,9515038.872564705,10741381.838444144,10173797.762355909,10604798.487391543,12414071.172101011,8673063.664537657,13540539.250271514,10877217.068616051,8412905.094660286,7279993.651214035
01,08,Sat,7632235.826718415,9518966.031531567,6273380.37606983,5536611.516386096,5617869.615171112,5629732.79712621,5058524.934344974,4753657.110415756,6105290.476711038,4443200.691199786,4084016.3001252986,4860532.627635738,7590643.1441989085,10861220.864505935,10180887.410479983,10415028.273740733,8269952.879769653,8719324.410838336,8813132.415693896,10891268.252116468,10296279.984151158,3743432.400241458,11186545.508137787,10113777.390983945,11926442.981669486,11257442.773223305,12337996.82036096,11311581.96314369,10786811.291409943,13702207.177340234,10928793.872842548,7616955.468869419,12942597.397062967,4499983.846555715,13770650.758802716,10232551.895852435,11675154.868040334,12159264.530477121,13529055.32248402,12565760.830573248,13889823.219852746,11582267.845129088,13326495.081189105,10583115.192137612,10753933.02277054,9720709.303012762,9215580.35408482,8894400.16258336
01,09,Sun,8853829.814424722,7757876.055350674,5405669.271519238,7859232.41673066,6798930.442841252,6747312.349913171,6494454.02396068,6197863.014983642,5365048.914633961,6005829.6331789065,4647521.901054674,7118286.295968465,6832420.51205618,10061148.214623332,8566126.03311375,11885745.514561271,11132607.130058596,11374242.081842152,10971853.503792258,11319819.517376754,13026854.526244586,10990583.202359049,13223607.918398019,11377269.218873505,10698395.445704684,11346217.866460143,10153669.465621952,13278408.337108536,12688667.9463103,11414861.4551408,11557083.022820348,11371363.742732313,12285148.488816917,9580139.392461391,9413984.006156145,12668469.424278963,11183760.53830723,11101480.679128934,13164971.412193744,11687002.564802062,10049266.844427768,9435213.385936286,8645153.25303433,10362257.412392216,10651117.496831214,10736824.445789399,9192636.092052735,8591832.977835264
01,10,Mon,7718644.184394324,9832591.991319846,7196831.805252478,5168323.124410266,7083522.853080494,7245787.532024911,5438734.134564728,6655390.451122926,6076923.10756202,7574657.5390499085,8034473.606410444,8334196.564466183,7472690.443650057,10154303.740446433,12979665.230092283,12367778.463627445,13136061.285989132,12848401.34882906,11239001.46743462,10597187.714853333,12895810.064471276,11675901.36857667,16073208.60422116,11952620.026601315,12740823.788848476,14434120.540089,12700082.600041743,6877847.706520165,14231676.453063788,16502950.048398888,14237491.91903371,11969130.475517014,15117315.001932736,15276497.145267475,13782471.126627432,14200244.545071129,14497149.132173566,13477176.704926148,14087599.497131137,15095909.258629082,16091643.444746895,13607781.130794283,13542250.871905819,12152055.910869604,13528484.403320657,10987140.75598338,9307746.7425972,6360232.687435812
